// Informações sobre plano de fundo do level
// Componentes RGB entre 0 e 1
// background    color_R  color_G  color_B
            1        0.2        1      0.2


// Informações sobre o chão do level
// Componentes RGB entre 0 e 1
// groundLevel    length   color_R  color_G  color_B
           350      5200         0      0.7        0


// Informações sobre as entidades do mundo
// posY: 
//            g - groundLevel
// EntityType:
//            1 - Espinho (1)
//            2 - Espinho (2)
//            3 - Espinho Invertido (1)
//            4 - Espinho Invertido (2)
//            5 - Espinho pequeno (1)
//            6 - Espinho pequeno (2)
//            7 - Fila de espinhos (1)
//            8 - Fila de espinhos (2)
//            9 - Fila de espinhos (3)
//            10 - Bloco (Grid)
//            11 - Bloco (1)
//            12 - Bloco (2)
//            13 - Bloco (3)
//            14 - Bloco (4)
//            15 - Bloco (5)
//            16 - Jump Pad (amarelo)
//            17 - Jump Ring (amarelo)
//            18 - Portal gravidade invertida
//            19 - Portal gravidade normal
//
//  posX    posY   EntityType
    600        g            2
    768        g            2
    800        g            6
    //
    850        g            16
    1000       g            10
    1034       g            10
    1068       g            10
    1102       g            10
    1000       316          10
    1034       316          10
    1068       316          10
    1102       316          10
    1000       282          10
    1034       282          10
    1068       282          10
    1102       282          10
    //
    1220       282          10
    1252       282          10
    1286       282          10

    1136       g            2
    1170       g            2
    1204       g            2
    1238       g            2
    1272       g            2
    1306       g            2
    1340       g            2
    1374       g            2
    1408       g            2
    1442       g            2
    1528       316          18
    //
    1634       78           10
    1668       78           10
    1702       78           10
    1736       78           10
    1770       78           4
    1804       78           4
    1836       78           4
    1870       78           4
    1904       78           10
    1938       78           10
    1972       78           10
    2200       170          19
    //
    2500       282          17
    2664       g            10
    2698       g            10
    2732       g            10
    2766       g            10
    2664       316          10
    2698       316          10
    2732       316          10
    2766       316          10
    2664       282          10
    2698       282          10
    2732       282          10
    2766       282          10
    //
    2926       g            13
    2926       316          13
    2926       282          13
    2926       248          13
    3086       g            13
    3086       316          13
    3086       282          13
    3086       248          13
    3086       214          13
    3246       g            13
    3246       316          13
    3246       282          13
    3246       248          13
    3246       214          13
    3246       180          13
    //
    3406       g            10
    3440       g            10
    3474       g            10
    3508       g            10
    3406       316          10
    3440       316          10
    3474       316          10
    3508       316          10
    3406       282          10
    3440       282          10
    3474       282          10
    3508       282          10
    3406       248          10
    3440       248          10
    3474       248          10
    3508       248          10
    3406       214          10
    3440       214          10
    3474       214          10
    3508       214          10
    3406       180          10
    3440       180          10
    3474       180          10
    3508       180          10
    3406       146          10
    3440       146          10
    3474       146          10
    3508       146          10
    //
    3600       152          13
    3720       186          13
    3840       220          13
    //
    3564       g            8
    3645       g            9
    3726       g            7
    3807       g            8
    3888       g            9
    //
    3948       g            10
    3982       g            10
    4016       g            10
    4050       g            10
    3948       316          10
    3982       316          10
    4016       316          10
    4050       316          10
    //
    4230       310          15
    //
    4110       g            7
    4191       g            8
    4272       g            9
    4353       g            7
    //
    4412       g            10
    4446       g            10
    4480       g            10
    4514       g            10
    4412       316          10
    4446       316          10
    4480       316          10
    4514       316          10
    4412       282          10
    4446       282          10
    4480       282          10
    4514       282          10
    //
    4660       g            2
    4694       g            6
    4850       g            6
